Sample_name,MSE,Order
U69-H1-VS2-20-15-13062024-Q=50.10mL-phút-4.txt,5.185553862105737,"(4, 1, 3)"
U7-VS2-12.5-2.5-05052024-Q=49.81mLphut-1.txt,1.0812809771473866,"(5, 1, 1)"
U71-H1-VS2-17.5-0-14062024-Q=50.2mL-phút-3.txt,14.54169042231212,"(5, 1, 5)"
U72-H3-VS2-17.5-0-14062024-Q=50.36mL-phút-4.txt,11.269367082253352,"(5, 1, 2)"
U73-h1-VS2-20-15-16062024-Q=49.88mLphut-5.txt,5.78241466776857,"(1, 1, 2)"
U74-H3-VS2-17.5-12.5-16062024-Q=50.14mLphut-5.txt,7.642310646954559,"(2, 1, 4)"
U74-H3-VS2-17.5-12.5-16062024-Q=50.42mLphut-4.txt,149.31532497828798,"(2, 1, 2)"
U75-H1-VS2-10-0-17062024-Q=49.88mL-phút-4.txt,3.095353958728781,"(5, 1, 5)"
U75-H1-VS2-20-12.5-17062024-Q=50.36mL-phút-4.txt,5.146003288185348,"(5, 1, 4)"
U76-H3-VS2-10-0-17062024-Q=50.92mL-phút-5.txt,6.873599895835445,"(1, 1, 4)"
U77-H1-VS2-17.5-5-18062024-Q=50.02mL-phút-4.txt,3.17643778740515,"(5, 1, 1)"
U78-H3-VS2-2.5-0-17062024-Q=49.68mL-phút-4.txt,9.553024753406529,"(2, 1, 3)"
U79-H1-VS2-20-10-19062024-Q=50.22mL-phút-4.txt,12.579764732712285,"(5, 1, 1)"
U79-H1-VS2-20-12.5-19062024-Q=50.2mL-phút-3.txt,13.867585970041258,"(5, 1, 5)"
U8-VS2-12.5-0-06052024-Q=51.36mL_phút-1.txt,3.426252718205601,"(5, 1, 1)"
U8-VS2-12.5-5-06052024-Q=50.84mL_phút-3.txt,4.481725233969772,"(4, 0, 3)"
U80-H3-VS2-20-10-19062024-Q=51.06mL-phút-5.txt,64.38735807558001,"(5, 1, 2)"
U81-H1-VS2-20-0-20062024-Q=51.08mL-phút-1.txt,6.193256229961938,"(3, 1, 2)"
U81-H1-VS2-20-5-20062024-Q=50.28mL-phút-4.txt,6.165546458573955,"(5, 1, 1)"
U82-H3-VS2-20-5-20062024-Q=50.92mL-phút-5.txt,57.198213083608294,"(5, 1, 4)"
U83-H1-VS2-17.5-5-L-21062024-Q=50.38mL-phút-5.txt,22.12071998882286,"(2, 1, 3)"
U84-H2-VS2-20-2.5-21062024-Q=50.58mL-phút-4.txt,21.602455488545022,"(3, 1, 3)"
U85-H1-VS2-15-5-24062024-Q=49.8mL-phút-5.txt,7.0843623712866455,"(4, 1, 5)"
U85-H1-VS2-20-0-24062024-Q=50.2mL-phút-2.txt,3.6186236437260697,"(1, 1, 2)"
U86-H3-VS2-20-2.5-24062024-Q=49.8mL-phút-5.txt,14.737188876011668,"(5, 1, 2)"
"U87-H1-VS2-15-0-25062024-Q=49,58mLphut-5.txt",1.6705919833270666,"(3, 0, 2)"
"U87-H1-VS2-15-5-25062024-Q=49,33mLphut-5.txt",4.385584970148635,"(1, 1, 3)"
U88-H3-VS2-7.5-2.5-25062024-Q=51.14mLphut-4.txt,26.049531053358688,"(5, 1, 2)"
U89-H1-VS2-12.5-5-26062024-Q=49.63mLphut-5.txt,2.1063855648342287,"(5, 1, 1)"
"U89-H1-VS2-17,5-10-26062024-Q=50.09mLphut-4.txt",1.826386090983869,"(2, 0, 5)"
U90-H3-VS2-10-2.5-26062024-Q=51.44mLphut-5.txt,7.364314878650429,"(3, 1, 5)"
"U90-H3-VS2-17,5-10-26062024-Q=51.52mLphut-5.txt",18.545758534910785,"(5, 1, 1)"
U92-H3-VS2-17.5-2.5-27062024-Q=50.14mL-phút-5.txt,20.81768204826968,"(2, 0, 4)"
U93-H1-VS2-20-0-28062024-Q=50.66mL-phút-3.txt,4.2489568610000825,"(5, 1, 1)"
U94-H3-VS2-20-0-28062024-Q=49.72mL-phút-4.txt,28.759077528274403,"(5, 1, 4)"
U95-H1-VS2-7.5-0-01072024-Q=49.24mL-phút-4.txt,0.4904403090441575,"(3, 1, 2)"
U98-H3-VS2-12.5-0-02072024-Q=51.2mL-phút-4.txt,8.53461909167704,"(4, 1, 2)"
U99-H1-VS2-12.5-0-03072024-Q=48.8mL-phút-5.txt,3.0131698301810146,"(2, 1, 2)"
