Sample Name,Sheet Name,Block Index,peak_idx,Tag,Doin,No.peak,DOmin,DDO,phase_label
02042024-BOD-10-5-Q=49.74mL/phút-4,U1-26.03.2024,2,0,BOD10,283.27464,301.0,275.57,7.70464,0
02042024-BOD-10-5-Q=49.74mL/phút-4,U1-26.03.2024,2,1,,283.24679,773.0,275.48,7.76679,0
02042024-BOD-10-5-Q=49.74mL/phút-4,U1-26.03.2024,2,2,,283.46072,1248.0,276.03,7.43072,0
02042024-BOD-10-5-Q=49.74mL/phút-4,U1-26.03.2024,2,3,,283.30322,1720.0,275.7,7.60322,0
02042024-BOD-10-5-Q=49.74mL/phút-4,U1-26.03.2024,2,4,,283.30357,2194.0,275.39,7.91357,0
02042024-BOD-10-5-Q=49.74mL/phút-4,U1-26.03.2024,2,5,,283.26643,2667.0,275.54,7.72643,0
02042024-BOD-10-5-Q=49.74mL/phút-4,U1-26.03.2024,2,6,,283.36143,3140.0,275.6,7.76143,0
02042024-BOD-10-5-Q=49.74mL/phút-4,U1-26.03.2024,2,7,,283.66857,3613.0,275.98,7.68857,0
02042024-BOD-10-5-Q=49.74mL/phút-4,U1-26.03.2024,2,8,BOD5,282.81357,4087.0,276.79,6.02357,1
02042024-BOD-10-5-Q=49.74mL/phút-4,U1-26.03.2024,2,9,,283.18072,4560.0,277.28,5.90072,1
02042024-BOD-10-5-Q=49.74mL/phút-4,U1-26.03.2024,2,10,,283.13536,5035.0,277.39,5.74536,1
02042024-BOD-10-5-Q=49.74mL/phút-4,U1-26.03.2024,2,11,,283.15858,5507.0,277.09,6.06858,2
02042024-BOD-10-5-Q=49.74mL/phút-4,U1-26.03.2024,2,12,,282.94536,5981.0,277.07,5.87536,2
02042024-BOD-10-5-Q=49.74mL/phút-4,U1-26.03.2024,2,13,,283.1925,6453.0,277.51,5.6825,2
02042024-BOD-10-5-Q=49.74mL/phút-4,U1-26.03.2024,2,14,,283.19035,6927.0,277.39,5.80035,2
02042024-BOD-10-5-Q=49.74mL/phút-4,U1-26.03.2024,2,15,,283.2775,7400.0,277.54,5.7375,2
02042024-BOD-10-5-Q=49.74mL/phút-4,U1-26.03.2024,2,16,,283.24536,7873.0,277.87,5.37536,2
02042024-BOD-10-5-Q=49.74mL/phút-4,U1-26.03.2024,2,17,,283.39965,8346.0,277.04,6.35965,2
02042024-BOD-10-5-Q=49.74mL/phút-4,U1-26.03.2024,2,18,,283.58893,8820.0,278.04,5.54893,2
02042024-BOD-5-0-Q=50.01mL/phút-3,U1-26.03.2024,3,0,BOD5,282.9454,301.0,277.07,5.87536,0
02042024-BOD-5-0-Q=50.01mL/phút-3,U1-26.03.2024,3,1,,283.1925,773.0,277.51,5.6825,0
02042024-BOD-5-0-Q=50.01mL/phút-3,U1-26.03.2024,3,2,,283.2775,1247.0,277.39,5.8875,0
02042024-BOD-5-0-Q=50.01mL/phút-3,U1-26.03.2024,3,3,,283.2454,1720.0,277.54,5.70536,0
02042024-BOD-5-0-Q=50.01mL/phút-3,U1-26.03.2024,3,4,,283.3997,2193.0,277.87,5.52965,0
02042024-BOD-5-0-Q=50.01mL/phút-3,U1-26.03.2024,3,5,,283.5889,2666.0,278.01,5.57893,0
02042024-BOD-5-0-Q=50.01mL/phút-3,U1-26.03.2024,3,6,,283.6629,3140.0,278.04,5.62286,0
02042024-BOD-5-0-Q=50.01mL/phút-3,U1-26.03.2024,3,7,BOD0,283.7814,3614.0,280.57,3.21143,1
02042024-BOD-5-0-Q=50.01mL/phút-3,U1-26.03.2024,3,8,,284.0918,4087.0,281.59,2.50179,2
02042024-BOD-5-0-Q=50.01mL/phút-3,U1-26.03.2024,3,9,,284.4132,4560.0,282.01,2.40322,2
02042024-BOD-5-0-Q=50.01mL/phút-3,U1-26.03.2024,3,10,,284.5555,5035.0,282.03,2.52552,2
02042024-BOD-5-0-Q=50.01mL/phút-3,U1-26.03.2024,3,11,,284.7968,5507.0,282.42,2.37679,2
02042024-BOD-5-0-Q=50.01mL/phút-3,U1-26.03.2024,3,12,,285.1214,5981.0,282.92,2.20143,2
02042024-BOD-5-0-Q=50.01mL/phút-3,U1-26.03.2024,3,13,,285.5164,6455.0,283.17,2.34643,2
02042024-BOD-5-0-Q=50.01mL/phút-3,U1-26.03.2024,3,14,,285.6193,6929.0,283.17,2.44929,2
02042024-BOD-5-0-Q=50.01mL/phút-3,U1-26.03.2024,3,15,,285.8881,7401.0,283.66,2.22806,2
03042024-BOD-20-15-Q=50.46mL/phút-2,U1-26.03.2024,4,0,BOD20,286.2564,301.0,276.13,10.12639,0
03042024-BOD-20-15-Q=50.46mL/phút-2,U1-26.03.2024,4,1,,286.2367,774.0,276.03,10.20667,0
03042024-BOD-20-15-Q=50.46mL/phút-2,U1-26.03.2024,4,2,,285.9256,1249.0,276.0,9.92556,0
03042024-BOD-20-15-Q=50.46mL/phút-2,U1-26.03.2024,4,3,,285.8047,1723.0,275.52,10.28473,0
03042024-BOD-20-15-Q=50.46mL/phút-2,U1-26.03.2024,4,4,,285.6386,2197.0,275.13,10.50861,0
03042024-BOD-20-15-Q=50.46mL/phút-2,U1-26.03.2024,4,5,,285.4853,2669.0,275.08,10.40529,0
03042024-BOD-20-15-Q=50.46mL/phút-2,U1-26.03.2024,4,6,,284.0442,3142.0,274.12,9.92417,1
03042024-BOD-20-15-Q=50.46mL/phút-2,U1-26.03.2024,4,7,,284.8024,3617.0,274.69,10.11243,1
03042024-BOD-20-15-Q=50.46mL/phút-2,U1-26.03.2024,4,8,BOD15,284.5856,4088.0,274.79,9.79555,2
03042024-BOD-20-15-Q=50.46mL/phút-2,U1-26.03.2024,4,9,,284.4286,4562.0,274.77,9.65862,2
03042024-BOD-20-15-Q=50.46mL/phút-2,U1-26.03.2024,4,10,,284.2944,5034.0,273.7,10.59443,2
03042024-BOD-20-15-Q=50.46mL/phút-2,U1-26.03.2024,4,11,,284.3394,5508.0,274.42,9.91943,2
03042024-BOD-20-15-Q=50.46mL/phút-2,U1-26.03.2024,4,12,,284.2022,5982.0,274.75,9.45222,2
