Sample Name,Sheet Name,Block Index,peak_idx,Tag,Doin,No.peak,DOmin,DDO,phase_label
U187-H5-VS2-GGA7.5-HH 5mg-L-12092024-Q=50.12mL-phút-1,U187-H5-VS2-09.09.2024,0,4,,327.22558,2202.0,252.99999,74.22559,0
U187-H5-VS2-GGA7.5-HH 5mg-L-12092024-Q=50.12mL-phút-1,U187-H5-VS2-09.09.2024,0,5,,333.73488,2675.0,259.29999,74.43489,0
U187-H5-VS2-GGA7.5-HH 5mg-L-12092024-Q=50.12mL-phút-1,U187-H5-VS2-09.09.2024,0,6,,335.87442,3150.0,260.19999,75.67443,0
U187-H5-VS2-GGA7.5-HH 5mg-L-12092024-Q=50.12mL-phút-1,U187-H5-VS2-09.09.2024,0,7,GGA7.5-HH-5,347.18837,3623.0,299.60001,47.58836,1
U187-H5-VS2-GGA7.5-HH 5mg-L-12092024-Q=50.12mL-phút-1,U187-H5-VS2-09.09.2024,0,8,,347.16512,4100.0,303.09999,44.06513,1
U187-H5-VS2-GGA7.5-HH 5mg-L-12092024-Q=50.12mL-phút-1,U187-H5-VS2-09.09.2024,0,9,,344.92558,4572.0,303.99999,40.92559,2
U187-H5-VS2-GGA7.5-HH 5mg-L-12092024-Q=50.12mL-phút-1,U187-H5-VS2-09.09.2024,0,10,,337.62791,5045.0,298.90001,38.7279,2
U187-H5-VS2-GGA7.5-HH 5mg-L-12092024-Q=50.12mL-phút-1,U187-H5-VS2-09.09.2024,0,11,,335.26047,5520.0,294.80001,40.46046,2
U187-H5-VS2-GGA7.5-HH 5mg-L-12092024-Q=50.12mL-phút-1,U187-H5-VS2-09.09.2024,0,12,,341.16744,5990.0,300.1,41.06744,2
U187-H5-VS2-GGA7.5-HH 10mg-L-12092024-Q=50.18mL-phút-1,U187-H5-VS2-09.09.2024,1,0,GGA7.5,335.44186,311.0,279.19999,56.24187,0
U187-H5-VS2-GGA7.5-HH 10mg-L-12092024-Q=50.18mL-phút-1,U187-H5-VS2-09.09.2024,1,1,,338.47442,785.0,281.89999,56.57443,0
U187-H5-VS2-GGA7.5-HH 10mg-L-12092024-Q=50.18mL-phút-1,U187-H5-VS2-09.09.2024,1,2,,335.59535,1258.0,275.7,59.89535,0
U187-H5-VS2-GGA7.5-HH 10mg-L-12092024-Q=50.18mL-phút-1,U187-H5-VS2-09.09.2024,1,3,,331.775,1732.0,273.7,58.075,0
U187-H5-VS2-GGA7.5-HH 10mg-L-12092024-Q=50.18mL-phút-1,U187-H5-VS2-09.09.2024,1,4,,330.7814,2205.0,274.10001,56.68139,0
U187-H5-VS2-GGA7.5-HH 10mg-L-12092024-Q=50.18mL-phút-1,U187-H5-VS2-09.09.2024,1,5,,338.65814,2706.0,279.3,59.35814,0
U187-H5-VS2-GGA7.5-HH 10mg-L-12092024-Q=50.18mL-phút-1,U187-H5-VS2-09.09.2024,1,6,GGA7.5-HH-10,345.58605,3179.0,292.80001,52.78604,1
U187-H5-VS2-GGA7.5-HH 10mg-L-12092024-Q=50.18mL-phút-1,U187-H5-VS2-09.09.2024,1,7,,343.74651,3653.0,297.30001,46.4465,1
U187-H5-VS2-GGA7.5-HH 10mg-L-12092024-Q=50.18mL-phút-1,U187-H5-VS2-09.09.2024,1,8,,343.33721,4124.0,297.8,45.53721,1
U187-H5-VS2-GGA7.5-HH 10mg-L-12092024-Q=50.18mL-phút-1,U187-H5-VS2-09.09.2024,1,9,,334.03721,4601.0,287.99999,46.03722,1
U187-H5-VS2-GGA7.5-HH 10mg-L-12092024-Q=50.18mL-phút-1,U187-H5-VS2-09.09.2024,1,10,,329.66667,5072.0,282.40001,47.26666,1
U187-H5-VS2-GGA7.5-HH 10mg-L-12092024-Q=50.18mL-phút-1,U187-H5-VS2-09.09.2024,1,11,,329.82857,5545.0,280.29999,49.52858,2
U187-H5-VS2-GGA7.5-HH 10mg-L-12092024-Q=50.18mL-phút-1,U187-H5-VS2-09.09.2024,1,12,,326.51714,6017.0,277.00001,49.51713,2
U187-H5-VS2-GGA2.5-HH 15mg-L-12092024-Q=50.32mL-phút-2,U187-H5-VS2-09.09.2024,2,0,GGA7.5,327.96111,313.0,268.7,59.26111,0
U187-H5-VS2-GGA2.5-HH 15mg-L-12092024-Q=50.32mL-phút-2,U187-H5-VS2-09.09.2024,2,1,,328.63143,787.0,266.7,61.93143,0
U187-H5-VS2-GGA2.5-HH 15mg-L-12092024-Q=50.32mL-phút-2,U187-H5-VS2-09.09.2024,2,2,,324.44167,1260.0,265.19999,59.24168,0
U187-H5-VS2-GGA2.5-HH 15mg-L-12092024-Q=50.32mL-phút-2,U187-H5-VS2-09.09.2024,2,3,,330.34857,1731.0,265.30001,65.04856,0
U187-H5-VS2-GGA2.5-HH 15mg-L-12092024-Q=50.32mL-phút-2,U187-H5-VS2-09.09.2024,2,4,,329.31944,2207.0,266.20001,63.11943,0
U187-H5-VS2-GGA2.5-HH 15mg-L-12092024-Q=50.32mL-phút-2,U187-H5-VS2-09.09.2024,2,5,,326.96111,2680.0,263.90001,63.0611,0
U187-H5-VS2-GGA2.5-HH 15mg-L-12092024-Q=50.32mL-phút-2,U187-H5-VS2-09.09.2024,2,6,,332.40278,3152.0,268.5,63.90278,0
U187-H5-VS2-GGA2.5-HH 15mg-L-12092024-Q=50.32mL-phút-2,U187-H5-VS2-09.09.2024,2,7,GGA7.5-HH-5,328.83333,3626.0,273.09999,55.73334,1
U187-H5-VS2-GGA2.5-HH 15mg-L-12092024-Q=50.32mL-phút-2,U187-H5-VS2-09.09.2024,2,8,,332.40286,4099.0,278.10001,54.30285,2
U187-H5-VS2-GGA2.5-HH 15mg-L-12092024-Q=50.32mL-phút-2,U187-H5-VS2-09.09.2024,2,9,,327.15278,4572.0,272.50001,54.65277,2
U187-H5-VS2-GGA2.5-HH 15mg-L-12092024-Q=50.32mL-phút-2,U187-H5-VS2-09.09.2024,2,10,,331.25135,5043.0,276.69999,54.55136,2
U188-H5-VS2-GGA7.5- Zn(II)5-Cr(VI)-10-Ni(II) 15mg-L-13092024-Q=50.24mL-phút-1,U188-H5-VS2-11.09.2024,0,0,GGA7.5,316.27931,311.0,266.99999,49.27932,0
U188-H5-VS2-GGA7.5- Zn(II)5-Cr(VI)-10-Ni(II) 15mg-L-13092024-Q=50.24mL-phút-1,U188-H5-VS2-11.09.2024,0,1,,315.59655,784.0,264.09999,51.49656,0
U188-H5-VS2-GGA7.5- Zn(II)5-Cr(VI)-10-Ni(II) 15mg-L-13092024-Q=50.24mL-phút-1,U188-H5-VS2-11.09.2024,0,2,,320.29688,1258.0,267.89999,52.39689,0
U188-H5-VS2-GGA7.5- Zn(II)5-Cr(VI)-10-Ni(II) 15mg-L-13092024-Q=50.24mL-phút-1,U188-H5-VS2-11.09.2024,0,3,,317.55091,1731.0,262.6,54.95091,0
U188-H5-VS2-GGA7.5- Zn(II)5-Cr(VI)-10-Ni(II) 15mg-L-13092024-Q=50.24mL-phút-1,U188-H5-VS2-11.09.2024,0,4,,316.59273,2205.0,259.29999,57.29274,0
U188-H5-VS2-GGA7.5- Zn(II)5-Cr(VI)-10-Ni(II) 15mg-L-13092024-Q=50.24mL-phút-1,U188-H5-VS2-11.09.2024,0,5,GGA7.5-Zn5-Cr-10-Ni15,321.13714,2677.0,273.99999,47.13715,1
U188-H5-VS2-GGA7.5- Zn(II)5-Cr(VI)-10-Ni(II) 15mg-L-13092024-Q=50.24mL-phút-1,U188-H5-VS2-11.09.2024,0,6,,324.38056,3152.0,281.8,42.58056,1
U188-H5-VS2-GGA7.5- Zn(II)5-Cr(VI)-10-Ni(II) 15mg-L-13092024-Q=50.24mL-phút-1,U188-H5-VS2-11.09.2024,0,7,,321.60555,3626.0,283.10001,38.50554,2
U188-H5-VS2-GGA7.5- Zn(II)5-Cr(VI)-10-Ni(II) 15mg-L-13092024-Q=50.24mL-phút-1,U188-H5-VS2-11.09.2024,0,8,,322.41944,4099.0,284.00001,38.41943,2
