,Tag,Doin (mV),No.peak,DOmin (mV),DDO (mV),Sheet Name,Sample Name
52,GGA7.5-HH-5,344.92558,4572,303.99999,40.92559,U187-H5-VS2-09.09.2024,U187-H5-VS2-GGA7.5-HH 5mg-L-12092024-Q=50.12mL-phút-1
53,GGA7.5-HH-5,337.62791,5045,298.90001,38.72789999999998,U187-H5-VS2-09.09.2024,U187-H5-VS2-GGA7.5-HH 5mg-L-12092024-Q=50.12mL-phút-1
54,GGA7.5-HH-5,335.26047,5520,294.80001,40.46046000000001,U187-H5-VS2-09.09.2024,U187-H5-VS2-GGA7.5-HH 5mg-L-12092024-Q=50.12mL-phút-1
55,GGA7.5-HH-5,341.16744,5990,300.1,41.067439999999976,U187-H5-VS2-09.09.2024,U187-H5-VS2-GGA7.5-HH 5mg-L-12092024-Q=50.12mL-phút-1
56,GGA7.5,335.44186,311,279.19999,56.241870000000006,U187-H5-VS2-09.09.2024,U187-H5-VS2-GGA7.5-HH 10mg-L-12092024-Q=50.18mL-phút-1
57,GGA7.5,338.47442,785,281.89999,56.57443000000001,U187-H5-VS2-09.09.2024,U187-H5-VS2-GGA7.5-HH 10mg-L-12092024-Q=50.18mL-phút-1
58,GGA7.5,335.59535,1258,275.7,59.89535000000001,U187-H5-VS2-09.09.2024,U187-H5-VS2-GGA7.5-HH 10mg-L-12092024-Q=50.18mL-phút-1
59,GGA7.5,331.775,1732,273.7,58.07499999999999,U187-H5-VS2-09.09.2024,U187-H5-VS2-GGA7.5-HH 10mg-L-12092024-Q=50.18mL-phút-1
60,GGA7.5,330.7814,2205,274.10001,56.68139000000002,U187-H5-VS2-09.09.2024,U187-H5-VS2-GGA7.5-HH 10mg-L-12092024-Q=50.18mL-phút-1
61,GGA7.5,338.65814,2706,279.3,59.35813999999999,U187-H5-VS2-09.09.2024,U187-H5-VS2-GGA7.5-HH 10mg-L-12092024-Q=50.18mL-phút-1
62,GGA7.5-HH-10,345.58605,3179,292.80001,52.786040000000014,U187-H5-VS2-09.09.2024,U187-H5-VS2-GGA7.5-HH 10mg-L-12092024-Q=50.18mL-phút-1
63,GGA7.5-HH-10,343.74651,3653,297.30001,46.446500000000015,U187-H5-VS2-09.09.2024,U187-H5-VS2-GGA7.5-HH 10mg-L-12092024-Q=50.18mL-phút-1
64,GGA7.5-HH-10,343.33721,4124,297.8,45.537210000000016,U187-H5-VS2-09.09.2024,U187-H5-VS2-GGA7.5-HH 10mg-L-12092024-Q=50.18mL-phút-1
65,GGA7.5-HH-10,334.03721,4601,287.99999,46.03721999999999,U187-H5-VS2-09.09.2024,U187-H5-VS2-GGA7.5-HH 10mg-L-12092024-Q=50.18mL-phút-1
66,GGA7.5-HH-10,329.66667,5072,282.40001,47.26666,U187-H5-VS2-09.09.2024,U187-H5-VS2-GGA7.5-HH 10mg-L-12092024-Q=50.18mL-phút-1
67,GGA7.5-HH-10,329.82857,5545,280.29999,49.528580000000034,U187-H5-VS2-09.09.2024,U187-H5-VS2-GGA7.5-HH 10mg-L-12092024-Q=50.18mL-phút-1
68,GGA7.5-HH-10,326.51714,6017,277.00001,49.51713000000001,U187-H5-VS2-09.09.2024,U187-H5-VS2-GGA7.5-HH 10mg-L-12092024-Q=50.18mL-phút-1
69,GGA7.5,327.96111,313,268.7,59.26111000000003,U187-H5-VS2-09.09.2024,U187-H5-VS2-GGA2.5-HH 15mg-L-12092024-Q=50.32mL-phút-2
70,GGA7.5,328.63143,787,266.7,61.931430000000034,U187-H5-VS2-09.09.2024,U187-H5-VS2-GGA2.5-HH 15mg-L-12092024-Q=50.32mL-phút-2
71,GGA7.5,324.44167,1260,265.19999,59.241679999999974,U187-H5-VS2-09.09.2024,U187-H5-VS2-GGA2.5-HH 15mg-L-12092024-Q=50.32mL-phút-2
72,GGA7.5,330.34857,1731,265.30001,65.04856000000001,U187-H5-VS2-09.09.2024,U187-H5-VS2-GGA2.5-HH 15mg-L-12092024-Q=50.32mL-phút-2
73,GGA7.5,329.31944,2207,266.20001,63.119429999999966,U187-H5-VS2-09.09.2024,U187-H5-VS2-GGA2.5-HH 15mg-L-12092024-Q=50.32mL-phút-2
74,GGA7.5,326.96111,2680,263.90001,63.06110000000001,U187-H5-VS2-09.09.2024,U187-H5-VS2-GGA2.5-HH 15mg-L-12092024-Q=50.32mL-phút-2
75,GGA7.5,332.40278,3152,268.5,63.90278000000001,U187-H5-VS2-09.09.2024,U187-H5-VS2-GGA2.5-HH 15mg-L-12092024-Q=50.32mL-phút-2
76,GGA7.5-HH-5,328.83333,3626,273.09999,55.73334,U187-H5-VS2-09.09.2024,U187-H5-VS2-GGA2.5-HH 15mg-L-12092024-Q=50.32mL-phút-2
77,GGA7.5-HH-5,332.40286,4099,278.10001,54.30284999999998,U187-H5-VS2-09.09.2024,U187-H5-VS2-GGA2.5-HH 15mg-L-12092024-Q=50.32mL-phút-2
78,GGA7.5-HH-5,327.15278,4572,272.50001,54.65277000000003,U187-H5-VS2-09.09.2024,U187-H5-VS2-GGA2.5-HH 15mg-L-12092024-Q=50.32mL-phút-2
79,GGA7.5-HH-5,331.25135,5043,276.69999,54.55135999999999,U187-H5-VS2-09.09.2024,U187-H5-VS2-GGA2.5-HH 15mg-L-12092024-Q=50.32mL-phút-2
